Education,JobInvolvement,JobLevel,DailyRate(USD),MonthlyIncome(USD),NoofCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,TrainingTimesLastYear,PerformanceRating,Attrition
College,Medium,3,164,7596,1,10,10,9,9,0,2,Excellent,No
Bachelor,High,1,464,2285,9,3,1,0,0,0,4,Outstanding,Yes
Bachelor,High,1,1107,3034,1,18,18,7,12,17,2,Excellent,No
College,High,2,759,5715,7,8,5,4,1,3,5,Excellent,No
Master,High,1,201,2576,3,8,5,2,1,2,5,Excellent,No
Master,High,2,1305,4197,2,18,1,0,0,1,2,Excellent,No
Bachelor,Medium,4,982,14336,1,25,25,10,3,9,3,Excellent,No
Bachelor,Medium,2,555,3448,6,20,1,0,0,0,3,Outstanding,No
College,High,5,821,19406,4,24,4,2,1,2,4,Excellent,No
Master,High,2,1381,6538,9,6,3,2,1,2,3,Excellent,No
College,High,2,480,4306,1,13,13,10,3,12,5,Excellent,No
Bachelor,High,1,313,2258,7,8,3,2,1,2,1,Outstanding,No
Master,High,2,1473,4522,4,8,5,2,0,2,3,Excellent,No
College,Medium,2,891,4487,1,5,5,4,1,3,3,Excellent,No
Doctor,High,2,1063,4449,3,15,13,11,10,7,2,Excellent,No
College,Medium,1,329,2218,1,4,4,2,3,2,3,Excellent,No
Below College,High,5,1218,19197,1,21,21,8,1,6,3,Excellent,No
Bachelor,Very High,4,906,13212,9,36,7,7,7,7,0,Excellent,No
Bachelor,High,2,1082,6577,0,6,5,4,4,4,6,Excellent,No
Bachelor,Very High,3,645,8392,1,10,10,7,0,7,2,Excellent,No
College,High,2,1300,4558,1,10,10,0,1,8,2,Excellent,No
Bachelor,High,1,688,4031,5,6,2,2,0,2,5,Excellent,Yes
Bachelor,Medium,3,319,7969,2,28,5,4,0,4,4,Excellent,No
College,High,1,192,2654,3,8,2,2,0,2,3,Outstanding,No
College,High,4,1490,16555,2,31,5,2,1,4,2,Excellent,No
College,High,2,532,4556,2,19,5,4,0,2,3,Excellent,No
Bachelor,Low,2,317,6091,2,11,5,4,0,2,2,Outstanding,No
Bachelor,High,5,422,19566,5,33,29,8,11,10,5,Excellent,No
Bachelor,High,2,1485,4810,2,19,10,7,0,8,5,Excellent,No
Master,Medium,2,1368,4523,0,7,6,5,0,4,4,Excellent,No
Below College,High,1,1448,3202,1,6,5,3,1,4,4,Excellent,Yes
College,Low,1,296,2351,0,3,2,2,1,0,3,Excellent,Yes
College,High,1,1490,1702,1,1,1,0,0,0,3,Outstanding,No
Master,High,5,1398,18041,0,21,20,15,1,12,2,Excellent,No
Bachelor,High,1,1349,2886,1,3,3,2,0,2,3,Outstanding,No
Bachelor,High,1,1400,2097,4,9,5,3,1,4,3,Excellent,No
Master,Medium,3,986,11935,1,10,10,2,0,7,2,Excellent,No
Doctor,Medium,1,408,2546,5,6,2,2,1,1,2,Excellent,Yes
College,Medium,1,489,2564,1,1,1,0,0,0,3,Excellent,Yes
Master,High,3,1398,8412,0,10,9,8,7,8,3,Excellent,No
Bachelor,Medium,4,210,14118,3,32,1,0,0,0,3,Excellent,No
Master,Medium,4,1099,17046,0,28,27,10,15,7,2,Excellent,No
Bachelor,High,1,1116,2564,0,12,11,7,6,7,2,Excellent,No
Bachelor,Medium,3,1499,10266,4,22,18,13,13,11,5,Excellent,No
College,High,2,983,5070,5,20,5,0,0,4,2,Excellent,No
Bachelor,High,4,1009,17861,6,26,3,2,0,1,2,Excellent,No
Bachelor,Low,1,144,4230,0,6,5,4,4,3,2,Excellent,No
Master,High,2,548,3780,7,19,1,0,0,0,3,Excellent,No
Master,Medium,1,1303,2768,3,14,7,3,5,7,3,Excellent,No
Bachelor,Medium,3,1125,9071,2,15,3,2,1,2,3,Excellent,No
Below College,High,3,1274,10648,1,13,13,8,0,8,6,Outstanding,No
Below College,High,3,1277,13610,7,15,7,6,7,7,2,Excellent,Yes
Below College,Low,1,587,3408,7,8,4,3,1,3,2,Excellent,Yes
Below College,High,1,413,2983,0,4,3,2,1,2,3,Excellent,No
Bachelor,High,3,1276,7632,4,10,8,7,0,0,2,Excellent,No
Bachelor,High,3,534,9824,3,12,1,0,0,0,2,Excellent,Yes
Bachelor,High,3,988,9950,9,11,3,2,0,2,2,Excellent,Yes
College,High,1,1474,2093,4,8,2,2,2,0,4,Excellent,No
Master,High,3,635,9980,1,10,10,3,9,7,3,Excellent,No
Below College,Medium,1,1368,3894,5,4,2,2,1,2,3,Excellent,Yes
Doctor,High,2,163,4051,2,14,9,7,6,7,2,Excellent,No
Doctor,High,4,1117,16835,3,37,10,9,7,7,2,Outstanding,No
College,High,2,267,6230,7,16,14,3,1,10,3,Excellent,No
Bachelor,High,2,619,4717,9,15,11,9,6,9,2,Excellent,No
Bachelor,High,4,302,13237,7,22,20,6,5,13,3,Excellent,No
Below College,High,1,443,3755,1,8,8,3,0,7,3,Excellent,No
Below College,High,2,828,6582,4,10,6,5,0,5,2,Excellent,No
Bachelor,High,3,319,7406,1,10,10,9,5,8,5,Outstanding,No
Bachelor,High,2,561,4805,0,9,8,7,3,7,3,Excellent,No
Master,High,1,426,2741,0,8,7,7,1,0,2,Excellent,Yes
Bachelor,High,2,232,4262,4,8,3,2,1,2,2,Excellent,No
Doctor,Very High,4,922,16184,4,10,6,1,0,5,2,Excellent,No
Bachelor,Medium,3,688,11557,9,10,5,4,0,1,3,Outstanding,No
Bachelor,High,1,1306,1878,1,0,0,0,0,0,3,Excellent,Yes
Bachelor,Low,3,1094,10932,3,20,1,0,0,1,2,Excellent,No
Master,Medium,2,509,6811,2,10,8,7,0,7,3,Excellent,No
College,High,2,775,4306,5,8,0,0,0,0,5,Excellent,No
Bachelor,High,2,195,4859,1,5,5,4,0,3,3,Excellent,No
Master,Very High,2,258,5337,1,10,10,7,5,7,3,Excellent,No
Bachelor,Low,1,471,2340,1,1,1,0,0,0,3,Excellent,Yes
Bachelor,High,3,799,7491,4,12,6,5,1,2,3,Excellent,No
Below College,High,3,1034,10527,5,28,2,2,1,2,3,Excellent,No
Doctor,High,4,1276,16595,7,22,18,16,11,8,2,Excellent,No
Master,High,3,142,8834,1,9,9,5,7,7,6,Excellent,No
College,High,2,956,5577,3,18,10,9,6,9,3,Excellent,No
Master,Very High,2,1474,4707,8,6,4,2,1,2,2,Excellent,Yes
Bachelor,High,1,535,2400,0,3,2,2,2,1,3,Excellent,No
Bachelor,High,2,1495,9824,3,18,1,0,0,0,4,Excellent,No
Master,High,2,446,6447,6,8,6,5,4,3,2,Excellent,No
Master,Medium,5,1245,19502,1,31,31,9,0,9,5,Excellent,No
Bachelor,Very High,1,691,2725,1,6,6,5,1,4,3,Excellent,No
College,High,2,703,6272,1,6,5,3,1,4,5,Outstanding,No
College,Medium,1,823,2127,1,1,1,0,0,0,2,Outstanding,No
Bachelor,High,5,1246,18200,1,32,32,5,10,7,2,Excellent,No
Below College,High,1,622,2096,1,7,7,4,0,6,1,Excellent,No
Bachelor,High,1,1287,2886,1,6,6,3,1,2,4,Excellent,Yes
Master,Medium,1,448,2033,1,1,1,0,0,0,2,Excellent,Yes
College,Medium,1,254,3622,1,6,6,5,1,3,3,Excellent,No
Master,High,2,1365,4233,2,9,3,1,1,2,2,Excellent,Yes
College,Medium,2,538,3681,4,9,3,2,0,2,3,Excellent,No
Master,Very High,2,525,5460,4,13,7,7,5,7,4,Outstanding,No
Master,Medium,1,798,2187,0,6,5,3,0,3,5,Excellent,No
Bachelor,High,2,558,9602,4,17,3,0,1,0,3,Excellent,No
Bachelor,Medium,1,959,2836,1,1,1,0,0,0,0,Excellent,No
Master,High,2,622,4089,1,10,10,2,2,2,4,Excellent,No
Master,Medium,4,782,16627,4,21,1,0,0,0,3,Excellent,No
Below College,High,1,362,2619,3,8,0,0,0,0,3,Excellent,No
Doctor,High,2,1001,5679,3,10,8,7,4,7,3,Excellent,No
Master,Medium,4,1236,15402,7,21,3,2,0,2,3,Excellent,No
Master,Medium,2,1112,5985,4,10,2,2,0,2,1,Excellent,No
Bachelor,High,1,204,2579,1,8,8,2,0,6,3,Excellent,No
Below College,High,1,1420,3041,0,5,4,3,0,2,3,Excellent,Yes
Below College,High,1,1343,3447,1,3,3,2,1,2,2,Excellent,No
Master,High,5,1315,19513,4,26,2,2,0,1,2,Excellent,No
Below College,High,1,604,2773,0,3,2,2,2,2,3,Outstanding,No
Master,High,2,1216,7104,0,6,5,0,1,2,3,Excellent,No
Master,High,2,646,6322,1,6,6,4,0,5,2,Excellent,No
Bachelor,High,1,160,2083,1,1,1,0,0,0,2,Outstanding,No
Below College,High,2,238,8381,7,18,14,7,8,10,2,Outstanding,No
Doctor,High,1,1397,2691,1,10,10,9,8,8,4,Excellent,No
Master,High,2,306,4286,2,5,1,1,0,0,4,Excellent,Yes
Bachelor,High,1,991,2659,1,3,3,2,0,2,2,Excellent,No
Bachelor,High,3,482,9434,1,10,10,7,7,8,2,Excellent,No
College,High,2,1176,5561,1,6,6,0,1,2,5,Excellent,No
Master,Low,2,1017,6646,1,17,17,11,11,8,3,Excellent,No
Bachelor,High,2,1296,7725,3,15,13,11,4,7,2,Outstanding,No
Master,High,3,397,10725,2,16,9,7,7,1,1,Excellent,No
College,Medium,2,913,8847,2,13,3,2,0,2,2,Excellent,No
Master,Medium,1,1115,2045,0,5,4,2,1,1,0,Excellent,No
Below College,High,1,1362,1009,1,1,1,0,1,1,5,Excellent,Yes
Bachelor,High,1,1076,3348,1,10,10,8,9,7,3,Excellent,Yes
Bachelor,Medium,1,727,1281,1,1,1,0,0,0,3,Excellent,No
Bachelor,Very High,1,885,2819,2,5,3,2,0,2,3,Excellent,No
Bachelor,Very High,2,810,4851,0,4,3,2,1,2,4,Outstanding,No
Master,Medium,2,243,4028,0,8,7,7,0,5,2,Outstanding,No
Master,Low,1,806,2720,1,10,10,7,2,8,5,Excellent,No
Below College,Very High,2,817,8120,3,12,2,2,2,2,3,Excellent,No
Below College,Very High,2,1410,4647,1,6,6,5,0,4,3,Outstanding,No
College,Very High,1,1225,4680,3,4,1,0,0,0,2,Excellent,No
Below College,Very High,1,1207,3221,1,20,20,8,3,8,3,Excellent,No
Bachelor,Medium,3,1442,8621,1,9,8,7,7,7,3,Excellent,No
College,High,2,693,4577,9,4,2,2,2,0,3,Excellent,Yes
Master,Medium,2,408,4553,1,20,20,7,11,10,4,Excellent,No
Bachelor,High,2,929,5396,1,10,10,7,0,8,2,Excellent,No
College,High,2,562,6796,3,18,4,3,1,3,4,Excellent,Yes
Master,Very High,2,827,7625,0,10,9,7,1,8,4,Excellent,No
College,High,3,608,7412,1,9,9,7,0,7,3,Excellent,No
College,High,3,1018,11159,3,10,7,7,7,7,6,Excellent,No
Master,High,2,703,4960,2,20,7,7,1,7,2,Excellent,No
Master,Medium,3,580,10475,5,20,18,13,1,12,2,Outstanding,No
Bachelor,Very High,4,970,14814,3,32,5,1,1,3,3,Excellent,No
Master,Medium,5,427,19141,3,23,21,6,12,6,2,Excellent,No
Master,High,2,1179,5405,8,10,2,2,2,2,1,Excellent,No
College,High,3,294,8793,1,9,9,7,1,7,4,Outstanding,No
Bachelor,Medium,5,314,19189,1,22,22,7,2,10,3,Excellent,No
Master,High,1,316,3875,7,4,2,2,2,2,2,Excellent,No
College,Low,1,654,2216,7,10,7,7,3,7,4,Excellent,Yes
Bachelor,Very High,3,427,11713,9,10,8,7,0,5,2,Excellent,No
Bachelor,High,3,168,7861,4,10,1,0,0,0,4,Excellent,No
Bachelor,Low,1,381,3708,2,9,5,2,1,4,5,Excellent,No
Bachelor,High,4,217,13770,9,28,22,2,11,13,2,Excellent,No
Doctor,High,2,501,5304,7,10,8,7,7,7,2,Outstanding,No
Bachelor,High,1,1396,2642,1,1,1,0,0,0,6,Excellent,No
Bachelor,Very High,1,933,2759,6,7,2,2,2,2,2,Excellent,Yes
Bachelor,Medium,2,775,6804,3,7,2,2,2,2,5,Excellent,No
College,High,2,970,6142,3,10,5,1,4,3,2,Excellent,No
Below College,High,1,650,2500,1,5,4,3,0,2,2,Excellent,No
Bachelor,Very High,2,141,6389,9,12,8,3,3,6,3,Excellent,No
Bachelor,High,4,832,11103,7,30,10,7,1,1,1,Excellent,No
Below College,Medium,1,804,2342,0,5,4,2,2,3,2,Outstanding,No
Bachelor,Medium,2,975,6811,8,9,7,6,0,7,2,Excellent,No
Bachelor,High,1,1090,2297,1,2,2,2,2,2,2,Excellent,No
Bachelor,High,2,346,2450,2,19,2,2,2,2,4,Excellent,No
Master,High,2,1225,5093,2,16,1,0,0,0,2,Excellent,No
Master,High,2,430,5309,1,10,10,8,4,7,2,Excellent,No
Doctor,High,1,268,3057,6,6,1,0,0,1,0,Excellent,No
Doctor,High,2,167,5121,3,7,0,0,0,0,3,Excellent,No
Master,Medium,4,621,16856,1,34,34,6,1,16,3,Excellent,No
Master,High,1,527,2686,1,10,10,9,7,8,2,Excellent,Yes
Below College,High,2,883,6180,1,6,6,5,1,4,5,Outstanding,No
College,Low,2,954,6632,0,9,8,7,3,1,3,Excellent,No
Below College,Very High,1,310,3505,1,2,2,2,0,2,3,Excellent,No
College,Very High,2,719,6397,4,8,5,4,1,3,2,Excellent,Yes
Bachelor,High,2,304,6274,1,6,6,5,1,4,5,Outstanding,No
Bachelor,High,5,725,19859,5,24,5,2,1,4,2,Excellent,Yes
Master,Medium,3,1434,7587,1,10,10,7,0,9,1,Excellent,No
Master,High,1,715,4258,0,5,4,3,1,2,3,Excellent,No
College,Low,1,575,4364,3,5,2,2,2,0,2,Excellent,No
Bachelor,High,2,657,4335,4,11,8,7,1,1,3,Excellent,No
Bachelor,Medium,2,1146,5326,6,6,4,3,1,2,2,Excellent,Yes
Master,Very High,1,182,3280,2,10,4,2,1,3,2,Excellent,No
Master,High,2,376,5485,9,9,5,3,1,4,4,Excellent,No
Below College,High,2,829,4342,0,5,4,2,1,1,3,Excellent,No
Below College,High,1,571,2782,0,6,5,3,4,3,3,Excellent,No
Master,Very High,2,240,5980,6,17,15,7,4,12,2,Excellent,No
Master,Medium,1,121,4381,1,6,6,5,1,3,3,Excellent,No
Master,High,1,384,2572,1,3,3,2,0,2,1,Excellent,No
Bachelor,Low,1,921,3833,3,7,2,2,0,2,2,Outstanding,No
College,Very High,2,791,4244,1,8,8,7,3,7,2,Outstanding,No
College,High,2,1111,6500,5,6,3,2,1,2,1,Excellent,No
Bachelor,High,5,570,18430,1,24,24,7,14,9,4,Excellent,No
Bachelor,Very High,1,1243,1601,1,1,0,0,0,0,2,Outstanding,Yes
Bachelor,Medium,1,1092,2694,1,1,1,0,0,0,4,Excellent,No
Master,High,2,1325,3149,8,9,5,2,1,4,3,Outstanding,No
Bachelor,High,4,691,17639,5,30,4,3,0,3,3,Excellent,No
College,Medium,1,805,2319,1,1,1,0,0,0,1,Excellent,Yes
Bachelor,High,3,213,11691,0,14,13,9,3,7,3,Excellent,No
Bachelor,High,2,118,5324,5,6,3,2,0,2,3,Excellent,Yes
College,High,4,202,16752,1,26,26,14,3,0,3,Excellent,No
Bachelor,High,2,676,5228,0,10,9,7,0,5,2,Excellent,No
College,Very High,1,1252,2700,1,10,10,7,0,7,3,Outstanding,No
Master,High,5,286,19246,7,40,31,15,13,8,2,Excellent,Yes
Master,Very High,1,1258,2506,3,7,2,2,2,2,0,Excellent,No
College,Medium,2,932,6062,9,8,4,3,0,2,4,Excellent,No
Master,High,1,890,4382,6,5,2,2,2,1,3,Excellent,Yes
Bachelor,High,1,1041,2143,4,8,5,2,0,4,2,Excellent,No
Bachelor,Medium,2,859,6162,1,14,14,13,6,8,3,Excellent,No
Master,Medium,2,720,5094,6,10,1,0,0,0,6,Excellent,No
Bachelor,Medium,2,946,6877,5,12,0,0,0,0,4,Outstanding,No
Bachelor,Medium,1,252,2274,1,1,1,0,0,0,3,Excellent,No
Bachelor,High,2,933,4434,1,10,9,8,7,8,3,Excellent,No
Bachelor,Medium,2,471,6288,2,13,4,3,1,2,3,Excellent,No
Master,Medium,1,702,2553,1,6,5,2,1,3,3,Excellent,No
Bachelor,High,3,1184,7654,1,9,9,8,7,7,3,Excellent,Yes
Below College,High,2,436,5160,4,12,9,7,7,3,3,Excellent,Yes
College,High,4,589,17159,6,22,4,1,1,0,3,Outstanding,No
Below College,Medium,3,269,12808,1,9,9,8,0,8,3,Excellent,No
Bachelor,High,3,950,10221,3,17,8,5,1,6,3,Outstanding,No
Master,High,2,760,4779,1,8,8,7,7,5,2,Outstanding,No
College,High,1,829,3737,0,4,3,2,0,2,1,Excellent,No
College,Medium,1,887,2366,1,8,8,7,1,7,2,Excellent,Yes
Bachelor,High,1,443,1706,1,0,0,0,0,0,6,Excellent,No
Master,High,4,1318,16307,2,29,20,6,4,17,2,Excellent,No
Bachelor,High,2,625,5933,9,10,5,2,2,3,2,Excellent,No
Below College,Very High,1,180,3424,7,6,4,3,0,1,3,Excellent,No
Bachelor,Very High,2,586,4037,1,9,9,8,0,8,5,Outstanding,No
Below College,Medium,1,1343,2559,1,6,6,5,1,1,3,Excellent,No
College,High,2,928,6201,1,18,18,14,4,11,1,Excellent,No
Master,High,2,117,4403,2,8,5,2,0,3,3,Excellent,No
Master,Medium,1,1012,3761,9,10,5,4,0,3,3,Excellent,No
College,Medium,3,661,10934,7,35,5,2,0,4,3,Excellent,No
Bachelor,High,3,930,10761,4,18,5,4,0,2,2,Excellent,No
College,Very High,2,638,5175,5,9,5,3,1,3,3,Excellent,No
Master,Medium,4,890,13826,3,31,9,8,0,0,3,Outstanding,No
Master,Medium,2,342,6334,4,9,1,0,0,0,2,Excellent,No
College,Medium,1,1169,4936,1,6,5,1,0,4,6,Excellent,No
College,Medium,2,1230,4775,6,4,2,2,2,2,2,Outstanding,No
Master,Very High,1,986,2818,2,10,3,2,0,2,2,Outstanding,No
Below College,High,1,1271,2515,5,8,2,1,2,2,2,Excellent,No
Bachelor,Medium,1,1278,2342,0,6,5,4,0,3,3,Outstanding,No
Below College,High,2,141,4194,1,5,5,3,0,3,3,Excellent,No
Bachelor,Medium,3,607,10685,1,17,17,14,5,15,2,Outstanding,No
Master,High,1,130,2022,1,10,10,2,7,8,3,Excellent,Yes
Bachelor,High,1,300,2314,0,4,3,0,0,2,2,Excellent,No
Below College,Medium,2,583,4256,1,5,5,2,0,3,1,Excellent,No
Bachelor,High,1,1418,3580,2,7,4,2,0,2,2,Excellent,No
Below College,Medium,1,1269,3162,0,6,5,2,3,4,2,Excellent,No
College,High,2,379,6524,1,10,10,8,5,3,3,Excellent,No
Bachelor,Medium,1,395,2899,0,3,2,2,1,2,3,Excellent,No
Bachelor,Very High,2,1265,5231,2,17,5,3,1,3,1,Excellent,No
Master,High,1,1222,2356,3,8,6,4,0,2,2,Excellent,No
Bachelor,Medium,1,341,2800,6,5,3,2,0,2,3,Excellent,Yes
Bachelor,High,4,868,11836,5,28,2,0,2,2,3,Excellent,No
Bachelor,Medium,3,672,10903,3,16,13,10,4,8,2,Excellent,No
College,High,1,1231,2973,5,10,5,4,0,0,3,Excellent,No
Master,High,4,102,14275,6,33,12,9,3,8,0,Excellent,No
Bachelor,High,2,422,5562,4,12,5,2,2,2,2,Excellent,No
College,High,2,249,4537,0,8,7,6,7,7,2,Outstanding,No
College,High,3,1252,7642,1,10,10,0,0,9,2,Excellent,No
Master,High,4,881,17924,1,31,31,6,14,7,3,Excellent,No
Bachelor,Medium,2,1383,5204,8,13,5,4,0,4,2,Excellent,No
College,High,1,1075,2277,3,7,4,3,0,3,4,Excellent,No
Master,High,1,374,2795,1,1,1,0,0,1,2,Outstanding,Yes
Below College,Medium,1,1086,2532,6,8,4,3,0,3,5,Excellent,No
College,High,1,661,2559,1,8,8,7,7,1,0,Excellent,No
Master,High,2,821,4908,1,4,4,2,0,2,3,Excellent,No
Below College,Medium,1,781,2380,9,3,1,0,0,0,3,Excellent,Yes
Bachelor,High,2,177,4765,4,4,1,0,0,0,2,Outstanding,No
Bachelor,Medium,1,500,2044,1,2,2,2,0,2,3,Excellent,Yes
Below College,High,1,1427,2693,1,1,1,0,0,0,3,Excellent,Yes
Below College,High,2,1425,6586,0,17,16,8,4,11,2,Excellent,No
Master,Medium,1,1454,3294,1,3,3,2,1,2,3,Excellent,No
Below College,High,2,617,4171,0,4,3,2,0,2,3,Excellent,Yes
Master,Low,1,1085,2778,4,10,7,7,1,0,1,Excellent,Yes
Bachelor,High,1,995,2377,5,6,2,2,2,2,2,Excellent,No
Bachelor,High,1,1122,2404,7,8,2,2,2,2,2,Outstanding,Yes
Bachelor,High,1,618,2318,1,1,1,1,0,0,2,Excellent,No
Bachelor,High,1,546,2008,1,1,1,0,1,0,3,Excellent,No
College,Medium,2,462,6244,7,10,5,4,0,3,6,Excellent,No
Master,Medium,1,1198,2799,3,6,3,2,0,2,1,Excellent,No
Bachelor,Medium,3,1272,10552,2,24,6,0,0,4,3,Excellent,No
Master,Medium,1,154,2329,3,13,7,7,5,2,2,Excellent,No
Below College,High,2,1137,4014,1,10,10,6,0,7,2,Outstanding,No
College,High,3,527,7403,4,29,26,9,1,7,3,Excellent,No
Master,High,1,1469,2259,4,13,0,0,0,0,2,Excellent,No
College,High,2,1188,6932,1,9,9,8,0,0,2,Excellent,No
Master,High,1,188,4678,2,8,6,2,0,1,6,Excellent,No
Bachelor,High,3,1333,13582,1,15,15,12,5,11,3,Excellent,No
Bachelor,Medium,1,1184,2332,6,5,3,0,0,2,3,Outstanding,No
College,Medium,1,867,2413,1,1,1,0,0,0,2,Excellent,Yes
Master,Medium,3,658,9705,2,11,1,0,0,0,2,Excellent,No
Bachelor,Medium,2,1283,4294,1,7,7,7,0,7,2,Excellent,No
Bachelor,High,1,263,4721,2,20,18,13,2,17,3,Excellent,No
Master,High,1,938,2519,4,16,11,8,3,9,6,Outstanding,No
Bachelor,Medium,1,419,2121,1,1,1,0,0,0,3,Excellent,Yes
Bachelor,High,1,129,2973,1,1,1,0,0,0,2,Excellent,Yes
Bachelor,High,2,616,5855,0,10,9,7,8,5,2,Excellent,No
Master,High,1,1469,3617,8,3,1,1,0,0,2,Excellent,No
Master,High,2,498,6725,1,8,8,7,6,3,2,Excellent,No
Below College,Medium,3,530,10325,1,16,16,7,3,7,6,Excellent,Yes
Bachelor,Medium,2,1069,6949,0,6,5,0,1,4,3,Excellent,No
Master,Medium,3,625,10609,5,17,14,1,11,7,2,Excellent,Yes
College,High,2,805,4447,1,9,9,7,0,8,5,Excellent,No
Bachelor,High,1,1404,2157,1,3,3,1,0,2,5,Excellent,No
Bachelor,High,2,1219,4601,1,5,5,2,1,0,3,Excellent,No
College,High,4,1053,17099,2,26,9,8,7,8,2,Excellent,No
Bachelor,High,1,289,2479,4,7,1,0,0,0,4,Outstanding,Yes
College,High,4,1376,14852,6,22,17,13,15,2,3,Excellent,No
College,High,3,231,7264,5,10,8,4,7,7,2,Excellent,No
Bachelor,High,2,152,5666,1,6,5,3,1,3,1,Excellent,No
Master,High,3,882,7823,6,12,10,9,0,8,2,Excellent,No
Doctor,Very High,3,903,7880,0,9,8,7,0,7,3,Excellent,No
Bachelor,Very High,4,1479,13194,4,22,1,0,0,0,2,Excellent,Yes
Master,Very High,2,1379,5067,1,20,19,10,2,7,3,Excellent,No
Master,High,2,1229,5079,4,12,7,7,0,7,3,Excellent,No
College,Medium,1,335,2321,0,4,3,2,1,2,0,Outstanding,Yes
Bachelor,High,4,722,17444,1,10,10,8,6,0,2,Excellent,No
Bachelor,Medium,1,906,2404,6,3,0,0,0,0,5,Outstanding,Yes
Below College,High,1,461,3452,3,5,3,2,0,2,4,Excellent,No
Master,High,1,974,2270,3,8,5,3,0,2,2,Excellent,No
College,High,4,1126,17399,9,32,5,4,1,3,1,Outstanding,No
Master,Very High,2,827,5488,1,6,6,5,1,2,2,Excellent,No
Bachelor,High,5,840,19419,2,21,18,16,0,11,2,Excellent,No
Master,High,1,1134,2811,9,4,2,2,2,2,2,Excellent,No
College,High,2,248,3633,1,9,9,8,0,8,2,Excellent,No
College,High,2,955,4163,1,9,9,0,0,7,0,Excellent,No
Bachelor,High,1,138,2132,4,7,5,2,0,1,2,Excellent,Yes
Bachelor,High,4,939,13973,3,22,12,11,1,5,2,Excellent,No
Below College,High,1,1391,2684,0,3,2,1,0,2,0,Excellent,No
College,High,3,566,10845,6,13,8,7,0,7,3,Excellent,No
Below College,Medium,2,1206,4377,1,5,4,2,3,2,6,Excellent,No
Master,Medium,1,622,3743,1,5,4,2,0,2,2,Outstanding,Yes
Below College,High,2,853,4148,1,4,4,3,0,3,1,Excellent,No
College,High,1,287,1051,1,0,0,0,0,0,2,Excellent,No
Bachelor,High,3,1441,10739,8,22,10,7,0,8,2,Excellent,No
Master,High,3,583,10388,1,16,16,10,10,1,3,Excellent,No
College,Very High,3,153,11416,0,9,8,7,1,7,4,Excellent,No
Bachelor,Medium,1,1097,2600,1,1,1,0,0,0,2,Excellent,Yes
Bachelor,High,1,109,2422,0,4,3,2,1,2,3,Excellent,Yes
College,Very High,2,1066,5472,1,8,8,7,1,3,2,Excellent,No
Below College,Low,1,217,2451,1,4,4,3,1,1,3,Excellent,No
Bachelor,Medium,2,277,4240,2,19,2,2,2,2,0,Excellent,No
Master,Medium,3,1355,10999,7,27,15,11,4,8,3,Excellent,No
College,High,2,549,5003,6,8,2,2,2,1,6,Excellent,No
Below College,Medium,4,466,12742,1,21,21,6,11,8,3,Excellent,No
Master,High,2,1055,4227,0,4,3,2,2,2,2,Excellent,No
Bachelor,High,1,802,3917,1,3,3,2,1,2,4,Outstanding,No
College,High,5,265,18303,6,21,1,0,0,0,3,Excellent,No
Bachelor,High,1,804,2380,4,8,1,0,0,0,5,Excellent,No
Bachelor,Medium,4,715,13726,3,30,5,3,4,3,4,Excellent,No
College,Low,2,1141,4777,5,15,1,0,0,0,2,Excellent,Yes
Master,High,2,135,6385,3,17,8,7,6,7,3,Excellent,No
Below College,Low,5,247,19973,1,21,21,16,5,10,3,Outstanding,No
Master,High,2,1035,6861,8,19,1,0,0,0,1,Excellent,No
College,Low,2,265,4969,8,7,2,2,2,2,6,Excellent,Yes
Below College,Low,5,266,19845,1,33,32,14,6,9,3,Excellent,Yes
Bachelor,Very High,4,1448,13320,3,23,12,11,11,11,2,Excellent,No
Bachelor,High,2,145,6347,0,19,18,7,0,13,3,Excellent,No
Master,Very High,1,885,2743,1,18,17,13,15,14,1,Excellent,Yes
Bachelor,High,3,945,10880,1,21,21,6,2,8,2,Excellent,No
Below College,Medium,1,1038,2342,0,3,2,2,2,2,2,Excellent,No
College,High,4,1234,17650,3,26,9,3,1,1,4,Excellent,No
Master,High,1,1109,4025,9,10,8,7,7,7,2,Excellent,No
Master,Very High,2,216,9725,0,16,15,1,0,9,2,Excellent,No
College,High,3,1089,11904,3,14,6,4,0,4,1,Excellent,No
Master,High,1,788,2177,1,6,6,3,0,4,3,Excellent,No
Bachelor,Medium,3,124,7525,2,30,15,7,6,12,2,Excellent,No
Bachelor,High,2,660,4834,7,9,1,0,0,0,3,Excellent,Yes
Bachelor,High,1,342,2042,6,6,3,2,1,2,2,Excellent,Yes
Master,High,1,1333,2220,1,1,1,1,0,0,2,Excellent,No
Below College,High,1,1144,1052,1,1,1,0,0,0,5,Outstanding,No
Master,High,1,1186,2821,3,8,2,2,2,2,2,Excellent,No
Master,High,5,1464,19237,2,29,8,1,7,7,2,Excellent,No
Bachelor,High,2,124,4107,3,8,4,3,0,1,3,Excellent,No
Bachelor,High,2,300,8396,1,8,7,7,7,5,3,Excellent,No
Below College,Medium,1,921,2007,1,5,5,3,1,3,5,Excellent,No
Master,High,5,430,19627,9,23,2,2,2,2,0,Excellent,No
Master,Medium,3,1082,10686,6,13,9,4,7,0,4,Excellent,No
